iso,year,quarter,date,qGDP_growth,qGDP_growth_res,date_fe,dNL_res,dhits_res
"ARG",2018,3,2018q3,-3.531055,-7.077878,3.546824,1.058075,7.602738
"ARG",2018,4,2018q4,-6.54962,-9.601668,3.052049,-1.111647,-7.80118
"ARG",2019,1,2019q1,-6.066423,-8.94165,2.875227,-17.17599,-2.528428
"ARG",2019,2,2019q2,.5785578,-2.751353,3.329911,-11.23683,-23.5668
"ARG",2019,3,2019q3,-1.766716,-5.082281,3.315564,8.615892,7.193277
"ARG",2019,4,2019q4,-1.161506,-4.028833,2.867327,5.603413,5.08195
"ARG",2020,1,2020q1,-5.119361,-5.998513,.8791518,11.18066,10.92916
"ARG",2020,2,2020q2,-21.08955,-10.33527,-10.75428,1.043499,19.72944
"ARG",2020,3,2020q3,-10.71559,-6.725686,-3.989902,-3.666509,-1.088712
"ARG",2020,4,2020q4,-4.365859,-2.502898,-1.862961,-7.779857,7.150273
"ARG",2021,1,2021q1,2.86038,1.767922,1.092458,-9.7053,.480796
"ARG",2021,2,2021q2,16.4876,4.745544,11.74205,-13.05478,-5.321343
"AZE",2014,1,2014q1,1.915383,-1.777435,3.692818,4.304966,6.915585
"AZE",2014,2,2014q2,2.54366,-1.123941,3.667601,-37.98535,-11.78295
"AZE",2014,3,2014q3,2.620455,-1.234481,3.854937,-21.70056,8.396692
"AZE",2014,4,2014q4,3.552439,-.2744196,3.826859,-.5057207,2.796519
"AZE",2015,1,2015q1,3.068133,-.3002777,3.368411,-13.52683,1.440916
"AZE",2015,2,2015q2,.8531699,-2.134427,2.987597,-44.08046,18.56627
"AZE",2015,3,2015q3,-.5167424,-3.841433,3.32469,3.852086,-6.097382
"AZE",2015,4,2015q4,1.437967,-1.233738,2.671705,-19.56076,10.2364
"AZE",2016,1,2016q1,-3.737749,-7.109653,3.371904,22.04983,8.338339
"AZE",2016,2,2016q2,-3.211052,-6.634866,3.423814,-17.25278,32.85532
"AZE",2016,3,2016q3,-3.025445,-6.232439,3.206994,1.345674,16.46663
"AZE",2016,4,2016q4,-2.744531,-6.708133,3.963602,10.17484,-5.136449
"AZE",2017,1,2017q1,-.4160605,-4.203735,3.787675,-29.72118,1.136326
"AZE",2017,2,2017q2,.1347506,-3.508426,3.643177,-33.49408,-24.7783
"AZE",2017,3,2017q3,.2484835,-3.805735,4.054218,-29.80863,-10.6967
"AZE",2017,4,2017q4,.4175794,-3.452697,3.870277,-37.88272,-2.688678
"AZE",2018,1,2018q1,1.27858,-2.691791,3.970371,-25.11485,-9.469254
"AZE",2018,2,2018q2,1.250036,-2.500335,3.750371,9.149296,-10.70798
"AZE",2018,3,2018q3,1.387375,-2.159449,3.546824,2.237201,-.5286033
"AZE",2018,4,2018q4,1.877117,-1.174932,3.052048,-2.168489,-5.943794
"AZE",2019,1,2019q1,3.458924,.5836957,2.875228,29.91459,.563385
"AZE",2019,2,2019q2,2.411394,-.9185163,3.329911,18.65189,10.53238
"AZE",2019,3,2019q3,2.768257,-.5473068,3.315564,-8.977822,-4.208578
